Psalm A,Psalm B,Contiguous Phrase Matches,Skipgram Matches,Root Matches,Final Score
32,88,1,1,17,240.9
71,86,4,7,18,240.9
50,76,1,3,14,240.73
18,102,1,3,41,240.73
81,98,0,2,11,240.34
50,79,1,2,23,240.26
16,17,1,1,14,239.96
89,106,4,4,41,239.6
78,110,0,0,26,239.0
39,82,1,0,14,238.85
22,44,4,2,29,238.74
23,143,3,1,10,238.72
45,97,0,0,16,238.66
105,106,8,4,28,238.38
21,112,1,0,13,238.15
105,135,2,6,25,238.11
31,116,3,2,24,238.08
88,89,2,4,32,237.99
75,99,0,0,10,237.79
78,107,0,1,43,237.28
105,119,1,10,62,237.25
90,103,1,1,18,236.98
34,97,0,2,20,236.9
31,119,6,7,62,236.7
93,110,0,1,9,236.55
9,97,0,1,18,236.42
51,69,3,1,27,236.39
3,4,3,0,8,236.35
105,148,2,2,25,236.18
104,148,3,2,19,236.09
78,147,0,2,31,236.09
81,144,0,0,14,236.0
59,69,1,4,27,235.81
18,139,2,0,39,235.73
108,110,0,0,13,235.67
11,36,3,0,11,235.66
8,144,0,1,10,235.56
44,59,0,2,25,235.54
5,49,1,1,19,235.51
88,141,1,0,17,235.4
68,110,2,2,17,235.34
23,60,0,0,9,235.13
27,55,0,1,26,235.07
13,27,2,2,13,235.07
36,69,0,1,28,235.05
97,99,3,0,10,234.89
18,97,2,1,22,234.88
46,75,1,0,10,234.84
66,81,1,1,20,234.82
7,143,1,2,17,234.75
44,109,0,1,31,234.73
33,47,0,3,12,234.68
104,147,2,2,23,234.62
101,131,0,0,6,234.48
33,51,0,0,24,234.48
6,69,2,3,17,234.47
50,78,1,1,41,234.46
18,101,3,0,21,234.46
31,112,1,1,19,234.44
18,80,1,0,34,234.33
31,97,1,1,20,234.16
16,26,0,0,13,234.13
65,74,0,1,18,233.88
15,121,0,0,10,233.51
22,78,2,7,45,233.45
36,39,0,0,20,233.44
23,122,0,0,9,233.39
79,88,2,0,18,233.37
31,64,1,0,20,233.09
31,32,1,0,24,232.98
56,66,0,3,15,232.76
78,88,1,2,33,232.46
64,77,0,0,15,232.42
98,149,1,0,8,232.36
78,119,4,4,84,232.31
74,78,2,4,37,232.23
54,88,0,1,14,232.1
31,144,1,0,23,232.04
97,106,0,1,23,231.7
18,72,1,1,33,231.69
89,112,1,0,24,231.62
50,132,1,1,17,231.59
18,37,1,8,36,231.29
7,17,4,0,17,231.21
8,89,0,1,19,231.19
7,78,0,2,34,230.95
38,65,1,1,14,230.83
78,132,1,0,30,230.83
73,75,1,1,13,230.79
38,71,3,0,24,230.33
31,141,3,1,20,230.19
2,105,0,1,20,230.06
17,58,0,1,16,230.02
111,147,1,2,13,229.76
34,38,1,0,25,229.61
33,108,1,1,16,229.48
106,145,0,6,29,229.45
27,53,0,0,16,229.35
18,73,1,1,35,229.25
70,109,3,0,11,229.23
49,88,2,2,18,229.11
18,119,10,17,64,228.64
49,55,2,2,21,228.57
25,27,5,5,16,228.46
18,76,0,0,27,228.29
22,79,0,0,28,228.24
44,88,4,5,17,228.12
48,96,2,2,12,227.77
45,64,0,0,17,227.61
39,49,0,1,20,227.49
111,112,4,1,8,227.48
48,65,0,2,15,227.47
31,37,1,3,32,227.41
79,145,2,2,19,227.35
83,105,0,1,25,227.15
18,50,1,2,37,226.85
31,35,1,3,29,226.84
73,107,0,1,28,226.78
5,52,0,2,17,226.72
33,89,3,2,26,226.69
61,142,0,0,10,226.68
22,71,3,5,25,226.63
7,10,0,3,15,226.28
103,111,1,2,12,226.28
88,109,3,1,24,226.16
27,64,0,1,15,226.05
127,128,1,0,7,225.92
18,147,1,3,34,225.79
26,75,0,0,12,225.77
31,140,2,1,19,225.71
102,135,4,10,9,225.7
25,119,11,10,34,225.7
33,96,2,3,17,225.69
86,111,0,1,14,225.61
73,109,0,1,30,225.6
46,72,0,2,14,225.54
8,91,0,2,7,225.39
36,49,2,0,17,225.29
23,52,0,1,11,225.28
32,36,1,2,14,225.23
121,131,2,3,3,225.23
27,143,2,2,15,225.14
4,30,1,0,12,225.1
18,68,1,2,42,224.78
7,25,1,1,16,224.69
18,104,2,1,40,224.52
7,81,1,0,17,224.42
2,16,1,1,7,224.42
55,112,0,3,13,224.41
26,55,1,0,21,224.4
149,150,1,2,1,224.34
9,44,1,2,24,224.33
17,36,1,0,18,224.33
51,109,0,1,28,224.05
17,141,1,1,18,224.04
15,24,1,1,9,224.04
69,130,1,2,16,223.97
7,54,1,1,14,223.86
22,31,7,4,28,223.75
109,119,5,9,56,223.62
26,119,2,2,37,223.47
40,78,3,2,32,223.42
78,109,1,2,46,223.31
7,92,0,0,16,223.23
69,74,1,2,30,223.15
35,73,2,2,26,223.15
44,79,1,1,22,223.07
38,51,1,2,17,223.06
30,59,1,2,15,223.04
7,23,0,1,12,223.03
51,106,0,0,26,222.99
31,55,0,3,29,222.92
31,73,0,1,28,222.89
50,109,1,1,27,222.79
31,143,5,5,19,222.78
50,91,0,0,19,222.66
89,90,5,1,23,222.53
37,71,1,2,31,222.27
50,80,1,0,20,222.25
78,135,0,6,35,222.2
51,79,0,0,21,222.16
74,79,2,0,20,222.15
32,91,1,1,11,222.12
66,69,1,2,29,222.02
22,66,1,3,29,222.0
38,55,1,3,24,222.0
10,74,1,0,25,221.71
86,116,0,6,14,221.65
111,130,0,0,6,221.61
76,78,0,2,23,221.45
19,119,4,8,35,221.44
71,89,4,2,32,221.12
61,91,1,1,11,221.05
105,109,1,2,34,221.04
59,78,1,5,33,220.94
10,44,0,0,26,220.9
26,27,0,1,16,220.75
52,69,1,2,17,220.59
89,104,3,0,37,220.59
9,51,2,0,20,220.56
35,89,3,2,38,220.35
37,112,6,3,15,220.15
33,49,3,0,18,220.08
34,78,0,2,35,220.08
18,30,1,1,23,219.89
37,140,1,2,22,219.79
7,119,2,1,49,219.66
71,83,3,1,19,219.6
38,69,3,1,28,219.51
73,102,1,2,24,219.43
25,26,1,1,15,219.24
112,147,3,0,15,219.1
103,132,0,0,16,219.09
18,81,2,1,29,219.05
125,128,2,0,4,218.88
25,51,0,0,20,218.85
69,147,2,0,28,218.79
69,106,3,2,32,218.79
7,140,0,1,18,218.66
49,112,0,0,17,218.61
74,102,2,3,25,218.59
27,37,3,5,18,218.53
41,55,2,2,23,218.48
16,18,0,1,24,218.48
18,105,3,5,40,218.47
12,34,0,0,16,218.44
77,89,1,2,33,218.39
9,59,0,1,21,218.32
55,139,1,1,24,218.3
125,147,1,0,11,218.29
50,104,2,2,25,218.27
34,147,2,2,21,218.18
42,114,0,0,7,218.15
40,119,3,6,47,218.02
23,139,1,0,16,217.93
9,102,0,0,27,217.85
20,33,1,0,10,217.84
30,31,5,4,15,217.7
40,65,0,1,18,217.62
105,132,0,1,23,217.47
134,135,5,4,1,217.45
45,145,3,2,14,217.45
39,139,1,1,21,217.38
9,109,2,2,21,217.36
77,138,0,1,17,217.34
54,69,2,0,18,217.23
52,120,0,0,7,217.16
89,97,2,1,23,217.1
73,78,0,2,40,217.03
33,92,1,1,17,216.98
21,110,0,0,13,216.84
27,45,0,0,20,216.83
69,143,8,3,20,216.81
44,81,0,1,22,216.77
4,55,2,2,13,216.77
27,56,2,1,15,216.69
44,54,1,4,12,216.63
3,139,0,0,17,216.59
55,66,0,1,27,216.53
4,85,0,0,14,216.43
87,137,0,0,7,216.15
9,140,1,1,19,216.09
36,101,3,0,12,215.81
71,145,1,1,24,215.79
22,35,6,4,25,215.74
34,53,2,0,14,215.73
5,145,1,1,20,215.7
127,139,0,0,13,215.69
99,111,0,0,11,215.69
113,150,1,0,1,215.65
18,94,3,4,29,215.59
9,10,3,2,18,215.54
31,40,0,3,29,215.47
65,95,0,0,12,215.38
16,71,1,1,16,215.27
30,88,2,2,13,215.0
31,139,1,0,30,214.93
18,55,1,5,36,214.93
124,134,3,2,0,214.79
33,71,0,2,23,214.74
32,51,0,0,18,214.68
31,130,5,3,11,214.66
46,66,0,1,18,214.64
18,74,0,3,36,214.62
79,102,0,6,17,214.62
