Psalm A,Psalm B,Contiguous Phrase Matches,Skipgram Matches,Root Matches,Final Score
54,61,1,0,8,155.55
63,81,0,0,11,155.54
16,97,0,1,10,155.53
66,98,0,2,11,155.52
22,98,0,2,14,155.51
60,112,0,0,9,155.5
30,32,0,0,10,155.5
10,93,2,0,7,155.49
55,95,0,0,16,155.48
21,29,2,1,9,155.48
37,145,1,3,19,155.47
8,80,0,0,12,155.46
7,107,0,1,21,155.45
71,77,1,0,18,155.44
45,118,0,0,18,155.42
11,84,0,0,10,155.38
21,104,3,1,15,155.35
1,26,1,0,8,155.3
4,21,2,1,9,155.3
4,86,1,0,10,155.28
36,90,1,1,11,155.28
77,140,0,1,14,155.27
76,109,0,0,15,155.27
5,69,3,2,18,155.26
101,104,1,2,14,155.23
72,83,1,2,14,155.16
23,101,0,0,9,155.16
19,121,0,0,9,155.15
18,57,0,1,19,155.14
37,45,0,0,22,155.13
53,105,0,2,17,155.11
12,73,0,0,15,155.08
18,54,1,1,16,155.06
66,143,0,2,18,155.06
21,55,0,1,16,155.04
52,89,2,1,17,155.03
79,97,0,0,11,155.01
48,103,0,2,14,155.01
108,144,0,0,11,154.95
9,94,4,4,12,154.91
14,54,0,1,8,154.9
69,145,0,2,22,154.85
19,88,0,2,14,154.85
5,59,2,1,11,154.84
66,106,0,3,22,154.84
58,88,1,0,10,154.8
15,75,0,0,7,154.79
30,64,0,0,10,154.78
61,78,1,0,20,154.78
26,40,1,1,14,154.77
119,138,3,4,24,154.75
38,105,1,0,23,154.71
90,101,0,0,11,154.7
97,119,6,2,26,154.69
14,107,1,0,15,154.69
78,128,0,0,12,154.66
102,107,1,0,23,154.63
66,82,0,3,7,154.63
65,69,0,2,19,154.62
19,101,0,0,12,154.62
116,142,1,4,6,154.61
19,40,0,1,16,154.61
33,133,0,0,8,154.6
76,138,0,1,9,154.6
15,22,2,0,9,154.58
76,82,1,3,6,154.57
94,109,2,0,19,154.54
90,139,0,0,17,154.52
43,143,1,0,9,154.48
16,35,1,0,15,154.46
25,106,2,3,16,154.41
61,88,1,0,11,154.4
68,143,1,0,19,154.38
20,35,1,0,12,154.38
32,37,1,0,20,154.37
18,43,1,0,14,154.37
89,94,3,3,22,154.36
90,104,0,1,18,154.36
25,40,4,3,13,154.36
7,48,0,0,14,154.35
58,104,0,0,15,154.32
100,105,0,1,13,154.32
146,149,2,0,5,154.31
7,125,0,1,8,154.31
87,99,0,0,8,154.31
34,106,3,3,23,154.31
127,144,0,0,9,154.3
73,101,2,1,9,154.3
41,73,0,0,18,154.29
45,50,1,1,13,154.26
34,130,0,2,9,154.23
76,85,0,1,10,154.22
55,145,0,0,19,154.22
37,141,2,1,15,154.15
43,50,1,3,7,154.14
63,89,0,2,19,154.13
74,75,0,1,12,154.12
62,144,0,1,11,154.04
89,127,1,0,15,154.04
7,108,0,1,11,154.02
25,139,2,0,17,154.0
14,35,0,0,14,153.97
61,146,0,0,8,153.96
68,102,0,1,25,153.95
39,83,2,1,13,153.93
41,127,1,1,9,153.88
69,131,1,0,12,153.88
20,89,1,3,15,153.86
69,84,3,1,17,153.86
64,66,1,1,14,153.84
86,135,2,5,14,153.8
106,135,5,6,15,153.79
40,83,2,0,16,153.79
71,91,1,2,11,153.76
130,135,0,1,10,153.75
22,97,2,2,14,153.73
10,147,0,0,16,153.72
90,109,0,2,17,153.72
54,70,1,1,5,153.71
26,86,1,1,12,153.69
19,138,2,0,10,153.69
7,31,0,1,19,153.68
89,100,0,3,11,153.66
115,121,2,1,7,153.66
21,149,0,1,7,153.64
103,128,1,1,8,153.63
34,65,0,0,13,153.62
4,37,1,1,14,153.62
63,78,0,0,21,153.56
44,55,1,3,19,153.55
5,91,1,0,12,153.55
90,91,0,0,12,153.53
92,139,0,3,14,153.53
76,149,0,0,8,153.53
41,78,1,0,27,153.53
26,76,0,0,9,153.51
33,61,0,0,12,153.51
11,139,1,0,11,153.47
62,86,2,2,12,153.46
116,139,0,0,14,153.45
36,147,0,1,15,153.43
36,92,1,0,12,153.42
96,111,1,0,11,153.42
4,69,1,2,14,153.4
72,102,2,0,18,153.38
21,63,1,1,8,153.37
49,119,0,3,36,153.34
103,110,1,2,9,153.31
31,75,0,1,13,153.31
45,100,1,0,10,153.28
73,82,1,0,12,153.28
2,85,0,0,9,153.27
52,54,1,3,5,153.24
8,68,0,0,17,153.22
57,78,1,0,18,153.22
17,19,0,0,15,153.18
10,61,1,0,11,153.16
42,91,0,0,8,153.16
26,145,0,0,14,153.14
45,58,1,0,10,153.13
74,107,0,1,20,153.08
72,96,2,1,11,153.07
104,106,3,1,25,153.06
60,93,0,0,6,153.06
21,52,1,0,10,153.02
60,144,0,0,11,153.02
5,15,1,1,8,153.0
102,146,3,2,9,153.0
19,143,2,1,11,153.0
50,145,1,1,17,152.98
3,56,2,0,12,152.98
5,39,2,2,11,152.96
54,130,1,1,5,152.95
95,104,1,1,14,152.94
33,76,0,2,11,152.93
3,102,1,2,12,152.92
77,109,0,1,22,152.92
47,96,2,5,6,152.91
47,135,0,0,12,152.91
28,141,2,2,9,152.89
23,77,0,0,11,152.87
40,63,1,1,13,152.86
4,36,1,0,11,152.86
102,103,5,3,15,152.85
101,119,2,6,22,152.83
2,7,0,0,12,152.82
3,60,0,0,11,152.77
18,108,0,1,19,152.76
83,95,1,0,12,152.71
28,41,2,0,12,152.7
111,148,2,0,9,152.63
13,69,1,0,17,152.62
20,87,0,0,8,152.6
82,119,1,4,21,152.59
28,30,3,1,9,152.58
72,109,1,1,20,152.57
84,88,3,1,11,152.5
36,138,0,2,8,152.49
12,107,1,0,11,152.49
65,85,1,1,10,152.47
21,32,1,0,10,152.47
94,147,0,1,18,152.47
7,14,0,2,11,152.44
44,85,1,0,13,152.43
23,116,0,0,8,152.42
62,92,0,1,8,152.4
82,96,1,0,7,152.39
59,108,1,2,10,152.37
2,96,1,0,11,152.36
135,138,3,3,8,152.35
35,90,0,0,17,152.33
38,139,0,1,20,152.29
7,68,0,2,20,152.28
26,115,0,0,14,152.25
51,149,0,0,8,152.23
32,86,1,0,10,152.23
105,121,0,1,15,152.17
11,129,0,1,4,152.17
131,145,0,0,8,152.17
24,132,0,0,12,152.14
5,19,1,1,12,152.12
36,112,0,0,11,152.09
42,56,1,0,11,152.07
33,73,0,0,22,152.06
19,44,0,0,17,152.06
22,82,1,3,9,152.05
13,94,1,1,10,152.04
91,105,0,1,17,152.03
48,148,0,1,11,152.02
7,129,0,1,7,152.02
49,58,1,0,11,152.02
49,133,0,0,7,152.01
29,145,1,2,11,151.96
69,70,0,1,11,151.96
35,45,0,0,17,151.92
9,34,3,3,15,151.9
14,44,0,1,13,151.9
7,77,0,0,17,151.85
105,118,1,1,21,151.85
72,90,0,1,12,151.79
112,141,0,0,10,151.77
98,150,0,0,4,151.76
89,116,1,1,22,151.74
3,36,0,0,10,151.7
33,97,2,3,10,151.7
21,116,1,0,12,151.69
17,64,0,0,12,151.69
31,98,2,1,11,151.68
28,33,1,2,13,151.67
33,144,2,2,12,151.64
90,94,1,0,13,151.64
36,63,1,1,9,151.63
4,6,2,1,6,151.63
50,138,0,1,13,151.63
108,138,1,2,8,151.58
16,70,0,0,8,151.55
24,69,3,0,14,151.54
93,95,0,0,2,151.54
44,56,2,2,14,151.53
28,138,3,2,7,151.53
5,16,2,0,10,151.53
106,147,2,4,18,151.52
26,54,1,0,9,151.48
30,90,0,0,11,151.47
16,45,0,0,12,151.46
27,94,0,0,16,151.46
61,83,1,0,10,151.46
19,96,2,2,10,151.41
14,147,0,2,13,151.39
69,80,0,1,22,151.38
59,98,1,1,11,151.38
4,99,2,0,6,151.36
5,95,1,0,10,151.33
12,68,0,0,16,151.31
22,26,1,0,17,151.29
9,49,1,0,15,151.28
55,68,0,2,23,151.28
16,140,1,0,11,151.17
71,131,0,2,8,151.16
68,106,1,2,26,151.12
84,90,1,1,10,151.12
33,102,3,3,16,151.1
10,36,0,2,13,151.09
116,143,1,1,11,151.08
26,44,0,1,15,151.07
79,138,0,3,8,151.06
92,96,1,1,9,151.06
21,38,1,2,11,151.03
49,51,1,0,14,151.02
49,98,0,0,10,151.02
40,72,1,0,16,151.02
106,144,1,2,15,150.97
9,72,1,1,15,150.95
5,62,2,0,11,150.93
3,12,1,1,8,150.92
29,46,0,0,9,150.9
61,71,1,1,10,150.85
11,26,0,0,9,150.8
97,146,0,1,10,150.78
51,59,1,1,15,150.78
30,43,0,1,8,150.76
83,127,0,1,9,150.7
90,138,1,2,9,150.68
25,56,2,0,14,150.67
80,132,0,0,14,150.64
87,134,0,0,4,150.62
15,145,0,1,10,150.6
124,148,0,2,7,150.59
5,96,0,1,13,150.56
57,141,1,0,11,150.56
4,53,0,0,10,150.54
21,65,1,1,5,150.54
91,141,0,0,10,150.53
16,62,0,0,12,150.51
17,69,0,0,22,150.51
11,40,1,0,11,150.51
6,55,1,1,12,150.49
27,112,0,1,11,150.49
55,82,0,0,12,150.48
18,84,1,1,20,150.47
39,104,0,0,19,150.47
17,82,1,1,8,150.44
66,109,1,2,21,150.44
63,79,0,0,12,150.44
37,69,1,2,26,150.44
107,148,1,0,17,150.39
17,84,0,0,13,150.39
43,56,0,0,8,150.39
19,71,0,1,16,150.37
63,83,1,0,7,150.37
40,105,2,3,21,150.36
31,103,4,3,17,150.36
58,64,2,0,9,150.35
21,57,1,1,10,150.35
40,145,0,0,18,150.31
26,58,0,0,10,150.29
7,95,0,0,14,150.27
36,54,0,0,11,150.26
33,121,0,1,12,150.26
48,149,0,1,8,150.24
78,129,0,1,12,150.23
38,44,1,0,19,150.23
105,136,1,2,19,150.23
27,80,0,0,15,150.23
56,57,3,2,5,150.19
109,111,2,0,12,150.17
36,80,1,1,8,150.16
3,116,2,0,11,150.11
9,101,0,1,15,150.11
26,97,1,0,10,150.09
6,9,3,1,9,150.09
49,82,1,0,10,150.05
30,73,1,0,12,150.03
4,50,1,0,12,150.03
22,77,1,0,21,150.03
103,129,0,0,8,150.03
91,94,0,0,14,150.01
86,119,9,13,24,150.0
64,119,1,1,27,150.0
4,14,0,1,9,149.96
25,74,1,3,14,149.95
71,102,2,0,19,149.95
14,81,0,1,11,149.94
35,95,1,0,15,149.94
47,108,1,1,6,149.94
113,121,1,2,2,149.93
104,118,2,0,20,149.92
88,100,1,0,7,149.88
38,97,0,0,14,149.87
96,100,2,1,5,149.81
135,136,6,0,10,149.79
35,105,2,2,26,149.75
79,148,0,1,14,149.73
83,90,0,0,14,149.72
55,127,0,1,11,149.72
40,54,2,0,11,149.7
3,145,1,1,11,149.68
50,52,0,0,13,149.67
8,143,2,0,8,149.62
58,90,1,0,7,149.61
22,103,3,2,17,149.61
10,82,1,0,9,149.6
49,72,0,1,14,149.59
45,77,1,0,14,149.58
51,96,0,1,12,149.58
83,135,2,2,15,149.57
54,76,1,0,7,149.56
27,118,4,2,15,149.56
5,8,1,0,5,149.55
32,114,0,0,5,149.52
32,52,1,1,9,149.41
16,143,1,1,10,149.38
66,104,0,2,20,149.36
34,138,0,2,12,149.35
52,94,0,0,11,149.32
50,92,0,0,16,149.29
3,106,0,1,18,149.27
45,53,2,1,10,149.26
76,81,0,1,13,149.26
28,73,0,0,14,149.23
92,140,0,0,13,149.23
32,142,0,0,10,149.22
105,126,0,0,12,149.21
63,95,0,1,8,149.19
13,88,1,1,9,149.18
68,79,0,0,19,149.18
66,131,0,0,10,149.18
21,109,1,1,16,149.18
16,121,0,0,8,149.17
61,89,2,5,13,149.17
53,133,0,0,7,149.16
3,66,0,2,13,149.11
39,80,0,0,13,149.1
23,68,0,1,14,149.09
35,138,0,1,14,149.07
76,90,0,0,11,149.06
18,149,1,0,15,149.04
89,91,0,1,17,149.03
21,97,0,1,9,149.02
81,92,1,0,11,148.99
59,71,0,1,19,148.97
25,101,0,0,13,148.96
89,93,0,1,12,148.94
2,37,1,1,13,148.94
62,110,0,0,11,148.92
25,135,4,1,13,148.89
58,72,1,0,10,148.89
105,111,2,2,11,148.88
15,32,0,0,7,148.86
19,69,0,0,20,148.78
39,85,0,0,13,148.77
83,106,1,0,18,148.76
64,76,0,0,10,148.73
46,108,0,1,8,148.72
39,130,0,1,7,148.7
83,89,1,4,21,148.66
58,141,0,0,11,148.65
13,22,2,1,11,148.65
7,66,0,2,15,148.63
79,86,0,0,17,148.63
3,89,1,2,18,148.62
78,86,2,1,25,148.61
104,112,2,1,13,148.6
14,128,0,0,6,148.6
83,123,0,0,8,148.58
17,71,0,1,14,148.57
83,137,0,0,12,148.55
16,32,0,0,12,148.55
50,59,1,1,19,148.55
101,102,0,0,13,148.54
6,26,1,0,9,148.54
116,135,3,2,8,148.51
80,90,4,2,9,148.5
80,94,2,1,12,148.46
41,70,1,0,8,148.46
76,135,0,1,13,148.44
30,50,0,1,10,148.44
32,43,0,0,8,148.43
59,147,2,1,13,148.43
23,132,0,0,8,148.43
69,108,0,1,15,148.4
76,124,0,0,7,148.38
66,73,0,0,22,148.33
5,103,0,2,15,148.31
50,96,2,3,12,148.3
77,103,0,1,19,148.29
2,36,0,0,9,148.25
48,77,0,0,14,148.24
97,143,1,1,11,148.24
40,73,1,1,19,148.23
21,24,0,1,10,148.21
64,65,1,0,7,148.18
30,85,1,1,8,148.18
11,31,2,1,12,148.16
88,116,1,3,12,148.13
12,22,3,0,12,148.09
26,84,1,0,10,148.06
31,121,0,0,12,148.04
25,90,0,2,14,148.02
38,145,0,2,14,148.01
89,95,3,2,16,148.0
21,92,0,1,11,147.95
32,40,1,3,12,147.94
55,115,1,1,17,147.92
39,140,1,0,13,147.91
54,143,3,1,7,147.87
103,119,6,7,31,147.86
12,40,1,0,12,147.86
103,141,0,0,14,147.86
65,106,0,0,18,147.84
75,112,0,0,9,147.83
2,56,1,0,10,147.83
56,89,2,1,23,147.82
51,54,0,0,10,147.78
30,108,0,1,10,147.76
32,34,1,0,14,147.76
20,28,0,0,8,147.74
34,68,0,0,22,147.73
49,68,1,0,20,147.71
31,49,1,3,17,147.71
17,57,1,0,12,147.7
89,136,0,1,21,147.69
86,139,2,3,15,147.68
14,101,1,0,8,147.68
33,120,0,0,9,147.68
61,112,0,0,8,147.68
96,103,0,5,12,147.66
7,135,1,1,14,147.66
45,61,2,0,11,147.64
45,63,1,0,11,147.63
64,111,0,0,7,147.61
12,71,0,0,14,147.6
42,104,0,2,15,147.59
28,109,2,0,16,147.56
45,71,0,1,18,147.56
21,48,1,0,11,147.55
119,135,4,4,37,147.51
13,143,2,1,8,147.51
86,100,0,1,10,147.5
7,74,0,1,16,147.5
39,61,1,0,10,147.5
91,143,1,0,13,147.49
23,90,0,0,9,147.47
78,99,0,0,18,147.46
9,13,1,0,11,147.42
87,127,0,0,5,147.41
1,127,0,0,7,147.38
77,81,2,0,15,147.35
72,143,0,0,17,147.33
32,140,1,2,11,147.32
102,121,0,1,10,147.31
32,107,2,0,14,147.3
98,106,0,1,17,147.29
9,119,10,6,30,147.27
55,125,1,2,9,147.26
13,102,1,1,11,147.25
115,125,1,2,6,147.24
19,41,1,1,11,147.24
125,129,1,0,6,147.24
83,147,0,0,16,147.24
33,43,0,0,9,147.22
118,145,0,2,16,147.22
19,55,0,1,17,147.15
5,102,0,0,17,147.15
17,73,0,0,14,147.15
27,108,1,0,10,147.15
38,59,1,0,16,147.15
101,127,0,2,6,147.14
68,72,1,2,17,147.13
62,65,2,0,10,147.09
21,62,2,1,10,147.09
27,141,4,2,8,147.08
54,121,0,0,6,147.07
43,86,3,0,7,147.07
51,139,0,0,18,147.07
56,61,2,0,8,147.05
65,83,0,0,11,147.03
59,84,1,1,12,146.99
14,84,2,0,10,146.99
76,83,1,0,12,146.98
44,117,0,0,6,146.97
111,149,1,1,5,146.95
79,144,0,1,12,146.94
21,143,1,1,12,146.91
14,22,0,2,16,146.88
63,91,0,0,7,146.81
121,130,1,0,5,146.79
33,81,1,1,14,146.77
86,118,3,4,13,146.73
7,85,0,0,12,146.73
50,107,1,0,20,146.7
15,31,1,1,10,146.69
7,26,0,2,11,146.69
15,28,0,1,9,146.65
40,49,0,0,17,146.6
5,28,2,4,7,146.59
26,52,0,1,9,146.57
35,85,1,3,10,146.57
31,145,3,5,17,146.56
91,138,0,1,9,146.55
4,62,3,0,8,146.52
11,73,1,1,9,146.51
19,38,1,1,13,146.5
34,74,0,0,17,146.49
5,22,4,0,14,146.45
10,106,3,1,18,146.45
49,103,0,0,18,146.42
49,59,1,0,15,146.42
43,149,0,0,5,146.4
85,119,3,5,24,146.4
22,53,1,0,16,146.38
43,82,1,0,5,146.37
28,96,1,0,11,146.36
39,88,1,3,13,146.35
6,18,2,0,17,146.35
37,58,0,0,16,146.33
24,112,0,0,9,146.32
21,111,1,1,7,146.29
41,90,0,1,7,146.29
50,56,1,1,13,146.26
31,79,1,1,16,146.25
35,106,2,1,24,146.25
18,95,1,1,19,146.24
41,101,0,1,10,146.22
19,68,1,0,18,146.22
49,102,0,2,16,146.17
4,77,0,0,12,146.15
21,36,1,0,10,146.14
56,78,2,2,22,146.13
16,37,2,1,16,146.11
62,96,0,0,12,146.1
50,88,0,0,18,146.1
25,44,2,0,17,146.07
69,91,1,0,18,146.05
1,104,0,1,12,146.05
44,67,1,0,9,146.03
9,55,1,1,19,146.02
19,49,0,1,12,146.01
1,33,0,0,11,146.01
33,74,0,3,16,146.01
2,51,0,0,13,146.0
50,61,0,0,11,146.0
92,125,1,0,9,145.99
87,89,0,0,13,145.99
61,68,3,1,14,145.98
30,75,0,1,8,145.96
25,39,1,0,13,145.95
81,130,0,0,10,145.94
49,118,1,1,15,145.94
24,46,2,0,7,145.88
62,88,1,2,12,145.87
119,141,1,2,28,145.82
66,77,0,2,20,145.81
81,88,2,0,14,145.79
100,107,0,1,8,145.78
85,104,0,0,14,145.75
45,108,0,0,11,145.75
42,77,1,1,14,145.73
53,77,1,1,10,145.72
132,143,0,1,14,145.71
87,100,0,0,6,145.69
70,107,0,0,10,145.68
62,71,1,2,13,145.62
13,40,1,0,13,145.6
89,113,1,3,14,145.58
84,143,1,2,10,145.57
33,125,0,0,10,145.57
48,75,0,0,10,145.57
14,18,0,1,20,145.57
3,39,1,0,9,145.55
75,88,0,0,12,145.55
76,96,0,1,10,145.54
3,13,1,0,8,145.53
5,7,0,0,15,145.52
83,94,0,0,16,145.52
66,147,0,1,17,145.51
38,101,0,1,13,145.51
115,146,3,0,9,145.48
113,117,3,0,2,145.43
23,78,0,0,16,145.42
78,108,1,0,18,145.41
22,30,3,3,12,145.41
41,142,1,1,10,145.39
48,59,2,0,10,145.39
20,95,0,0,6,145.38
14,103,2,0,12,145.38
3,64,1,0,8,145.36
107,132,0,0,17,145.36
66,145,2,1,16,145.36
24,110,1,1,6,145.35
65,80,0,0,12,145.35
52,92,0,1,10,145.32
20,132,0,1,9,145.31
53,83,0,0,13,145.31
36,132,1,0,12,145.31
43,98,0,0,7,145.3
86,147,0,1,15,145.29
12,39,1,0,11,145.27
81,132,0,0,13,145.26
31,65,1,0,14,145.26
8,45,2,1,7,145.24
118,138,1,3,10,145.24
34,146,2,2,7,145.23
44,132,0,0,17,145.23
35,147,1,0,18,145.18
16,90,0,1,11,145.18
92,144,1,1,10,145.16
7,70,0,0,6,145.16
96,148,2,0,11,145.14
19,134,0,2,5,145.14
75,148,1,0,9,145.13
38,90,2,1,12,145.11
101,138,1,1,9,145.11
56,60,1,0,11,145.1
27,105,2,3,16,145.09
46,85,1,3,7,145.07
44,47,2,1,9,145.06
35,54,2,1,11,145.06
73,144,0,0,16,145.04
4,145,0,2,10,145.03
86,112,0,0,10,145.02
93,105,1,1,8,145.01
39,144,0,0,13,144.99
49,80,1,1,13,144.96
101,139,3,1,10,144.95
109,138,1,3,13,144.91
46,83,0,0,13,144.91
84,109,2,0,17,144.91
24,140,0,0,11,144.88
103,137,1,0,11,144.88
56,77,1,0,13,144.87
7,91,0,1,12,144.85
77,92,1,0,13,144.84
133,137,2,1,5,144.8
53,128,0,0,6,144.78
64,141,3,0,7,144.78
55,60,1,1,14,144.78
26,106,2,0,16,144.76
125,131,2,0,3,144.76
18,45,2,0,25,144.73
71,135,1,2,17,144.73
44,140,1,0,16,144.69
45,59,1,0,11,144.69
14,106,0,1,15,144.65
37,146,3,2,13,144.64
4,65,3,0,7,144.64
79,94,0,1,13,144.64
6,79,0,0,10,144.61
50,72,3,1,15,144.61
46,78,1,0,21,144.61
74,132,0,1,15,144.59
2,5,1,0,10,144.58
3,97,0,0,9,144.58
19,122,0,1,9,144.57
60,63,0,0,9,144.57
39,103,0,0,17,144.56
68,148,0,0,16,144.53
66,89,1,1,26,144.51
10,24,1,0,10,144.47
17,94,0,1,16,144.46
55,116,0,2,15,144.46
7,49,0,0,15,144.45
32,83,0,0,13,144.44
3,91,1,0,9,144.44
72,79,0,0,17,144.36
61,64,1,0,8,144.35
58,116,0,0,10,144.32
6,39,1,1,8,144.32
98,126,0,0,6,144.28
97,145,1,0,11,144.25
78,121,0,2,14,144.22
115,122,1,0,9,144.21
10,40,0,0,19,144.18
27,140,4,0,9,144.17
1,112,2,0,7,144.17
52,85,0,0,11,144.15
2,86,0,1,12,144.14
91,142,0,1,8,144.13
118,122,0,2,8,144.13
17,23,0,0,8,144.1
32,97,1,1,9,144.09
7,52,1,0,13,144.09
41,121,1,1,8,144.08
41,105,1,1,19,144.06
72,104,1,1,18,144.03
8,9,2,0,10,144.02
8,73,0,1,10,144.01
140,146,0,0,12,143.95
74,148,1,1,11,143.94
9,36,0,0,16,143.93
14,48,0,0,9,143.93
125,133,2,1,3,143.91
6,74,1,0,12,143.86
63,97,0,0,8,143.84
19,58,0,0,11,143.83
59,107,0,2,17,143.83
50,129,0,0,10,143.8
23,83,1,0,8,143.79
5,45,0,0,15,143.79
24,98,1,2,7,143.78
45,140,0,0,12,143.72
10,145,1,0,16,143.68
22,144,0,0,17,143.66
72,89,4,3,21,143.65
74,109,1,1,21,143.61
5,17,0,0,12,143.61
5,9,2,1,12,143.61
41,120,0,1,6,143.61
28,77,0,2,11,143.6
138,147,0,2,10,143.57
25,38,1,1,15,143.54
65,67,0,1,6,143.53
9,70,1,0,7,143.53
40,103,1,1,18,143.53
44,65,0,1,12,143.52
5,50,0,0,16,143.52
91,102,0,0,15,143.49
144,145,0,0,17,143.49
64,67,0,0,6,143.49
113,127,0,0,5,143.48
21,37,1,0,15,143.46
75,87,0,0,7,143.42
34,45,0,0,17,143.41
19,25,0,0,14,143.39
34,87,0,1,8,143.37
76,139,0,0,14,143.36
32,49,0,0,12,143.32
38,138,0,1,13,143.29
65,114,0,0,5,143.29
10,104,4,2,14,143.28
104,146,5,1,9,143.27
25,73,1,1,16,143.26
81,135,0,2,13,143.24
28,50,0,1,15,143.23
91,103,1,1,10,143.22
63,119,2,5,21,143.22
2,31,2,0,12,143.22
58,99,0,0,5,143.2
7,86,0,0,18,143.2
49,114,0,0,7,143.19
16,106,0,1,15,143.17
35,52,1,0,12,143.17
102,116,2,3,11,143.13
45,87,1,1,8,143.12
3,42,0,3,8,143.12
85,89,1,2,17,143.11
5,14,1,1,8,143.11
64,105,0,0,15,143.09
60,89,0,1,20,143.06
38,63,3,0,9,143.04
1,32,1,0,9,143.03
10,138,1,4,8,143.01
14,125,1,0,7,143.01
52,103,0,1,13,143.0
72,82,2,0,8,142.99
49,140,0,1,12,142.97
83,133,0,0,8,142.91
15,53,0,0,7,142.91
48,98,1,0,10,142.9
37,122,0,1,11,142.89
104,129,0,0,9,142.88
28,29,2,2,7,142.87
17,147,0,0,14,142.84
41,61,0,0,11,142.81
51,73,3,0,13,142.8
58,77,0,0,13,142.75
18,96,2,2,22,142.74
89,99,2,2,15,142.72
62,77,2,1,14,142.68
38,131,0,0,9,142.67
68,103,0,0,22,142.67
51,148,0,0,12,142.67
53,90,2,0,8,142.65
119,132,0,3,31,142.63
71,118,0,2,19,142.61
9,103,3,1,13,142.59
3,141,3,0,8,142.56
9,47,0,1,10,142.56
76,88,0,0,12,142.55
43,147,0,1,6,142.55
71,143,2,5,10,142.54
50,121,0,1,11,142.53
25,43,2,0,8,142.52
31,72,0,2,18,142.5
78,96,1,0,24,142.46
35,58,1,0,12,142.46
40,143,3,1,14,142.46
38,62,1,0,15,142.41
32,90,0,1,13,142.39
82,101,1,1,6,142.39
52,107,1,1,14,142.37
26,56,1,1,10,142.37
54,139,1,1,12,142.36
47,61,0,0,7,142.36
10,125,1,1,8,142.32
76,108,0,2,9,142.3
105,133,0,0,10,142.28
4,5,2,0,7,142.24
42,143,1,0,11,142.21
27,113,0,1,10,142.21
8,140,1,0,9,142.21
19,92,2,0,10,142.2
23,130,0,0,6,142.16
1,148,1,0,6,142.16
66,127,0,0,12,142.15
22,118,3,3,18,142.15
46,89,1,2,18,142.14
71,104,0,0,21,142.13
16,77,0,0,14,142.11
21,85,0,0,12,142.09
1,58,1,0,7,142.08
68,93,0,0,11,142.06
39,54,1,2,9,142.03
56,144,0,0,13,142.02
56,69,3,1,17,141.98
71,121,0,1,12,141.93
118,129,1,2,6,141.92
27,60,0,0,12,141.92
112,146,2,0,8,141.9
26,89,2,1,17,141.89
31,85,1,0,15,141.89
45,51,2,0,13,141.88
5,79,0,2,11,141.84
10,80,1,0,13,141.81
64,138,0,0,9,141.8
31,48,0,0,16,141.77
14,71,0,1,12,141.77
7,56,1,1,13,141.74
37,132,0,0,18,141.73
77,93,1,0,8,141.72
59,86,0,1,16,141.7
81,137,0,0,6,141.7
27,104,2,0,18,141.7
6,77,0,0,12,141.67
86,95,2,4,8,141.66
38,64,1,0,11,141.64
48,62,0,0,12,141.61
18,62,2,0,22,141.61
94,103,1,3,12,141.61
106,139,0,1,22,141.59
77,97,0,2,9,141.53
37,144,0,2,16,141.44
16,56,0,1,12,141.43
1,68,0,1,9,141.41
60,94,0,2,10,141.4
4,119,2,0,24,141.38
40,55,0,2,19,141.37
54,119,2,1,22,141.35
97,107,0,0,15,141.35
33,84,1,1,13,141.34
6,75,0,0,7,141.32
10,116,0,1,11,141.32
17,76,0,0,10,141.31
132,133,1,0,8,141.3
11,101,0,0,8,141.28
65,102,0,1,10,141.27
89,147,0,1,24,141.27
26,104,0,0,16,141.27
79,100,3,1,6,141.26
116,141,1,2,10,141.25
41,72,2,2,11,141.24
73,138,0,0,13,141.24
16,57,1,1,8,141.23
24,33,1,1,10,141.16
10,32,0,0,14,141.14
76,106,1,0,15,141.09
27,62,1,2,11,141.07
27,138,1,0,13,141.06
14,146,0,0,9,141.03
18,42,2,0,21,141.03
59,72,3,2,13,141.02
10,54,0,1,11,141.0
25,50,0,0,17,141.0
29,72,0,0,13,140.99
9,71,2,0,16,140.97
68,81,1,0,18,140.89
7,148,1,1,12,140.86
54,83,1,1,7,140.86
64,118,0,1,9,140.85
32,94,1,0,14,140.84
76,134,0,0,5,140.84
24,68,1,0,14,140.8
50,77,2,1,16,140.78
46,98,0,1,8,140.74
51,101,1,1,13,140.73
105,143,0,1,21,140.72
63,68,0,0,16,140.71
36,79,0,1,14,140.71
8,23,1,0,5,140.67
44,58,0,0,12,140.64
57,71,1,1,11,140.61
63,144,1,0,10,140.6
148,149,3,1,7,140.59
92,101,1,1,8,140.58
27,83,1,4,8,140.58
15,58,1,0,6,140.57
31,135,2,1,20,140.57
26,83,0,0,11,140.57
3,72,1,0,11,140.57
105,125,1,1,11,140.54
53,113,0,0,8,140.51
68,125,1,0,12,140.5
68,147,0,1,18,140.46
6,35,1,1,12,140.44
80,148,0,0,13,140.43
61,93,0,0,6,140.42
106,110,0,0,14,140.41
44,76,0,1,15,140.4
13,17,0,1,9,140.39
33,60,0,0,13,140.38
30,149,0,0,6,140.38
22,130,1,0,13,140.36
61,105,0,0,14,140.33
139,140,0,0,15,140.31
41,131,0,2,5,140.31
43,52,1,0,6,140.29
